Designator,Footprint,Quantity,Value,LCSC Part #
C1,0603,1,470pF,
"C10, C9",0603,2,0.1u,
C2,0805,1,2.2uF,
"C3, C4",0603,2,10u,
"C5, C6",0603,2,0.1uf,
"C7, C8",0603,2,10uf,
D1,D_SMA,1,SS34,
D2,LED-ARRAY-SMD_4P-L1.6-W1.5-BR_XL-1615RGBC-RF,1,LED_RAGB,
IC1,NINAB30600B,1,NINA-B306-00B,
IC2,SOIC127P600X175-9N,1,TP4056,
J1,USB_C_Receptacle_HRO_TYPE-C-31-M-12,1,USB_C_Receptacle_USB2.0,
J2,PinSocket_1x02_P2.00mm_Vertical_SMD_Pin1Right,1, B2B-PH-SM4-TB(LF)(SN) ,
"LED10, LED11, LED12, LED13, LED14, LED15, LED16, LED17, LED18, LED19, LED2, LED20, LED21, LED3, LED4, LED5, LED6, LED7, LED8, LED9",0805,20,POW_LED,
"LED22, LED23",0603,2,CHG,
"R1, R10, R11, R12, R13, R14, R15, R16, R17, R18, R19, R2, R20, R21, R3, R4, R5, R6, R7, R8, R9",0603,21,1K,
"R22, R24, R27, R31, R32, R33, R34",0603,7,10k,
R23,0603,1,4.7k,
"R25, R26",0603,2,1.3K,
Rprog1,0603,1,3.3K,
SW1,Tactile 3x4x2mm TS-A010,1,TS-1088R-02526 ,
U1,SOT-23-5,1,MIC5219-3.3YM5,
U2,0603,1,100K,
U3,SOT-23,1,AO3041,
U4,MPU6050,1,MPU-6050,
U5,Cube,1,~,
