Designator,Mid X,Mid Y,Rotation,Layer
C1,191.2903,-74.4243,180.0,top
C10,108.5003,-103.5243,270.0,top
C2,191.2903,-68.5343,180.0,top
C3,191.1903,-66.6643,180.0,top
C4,191.1503,-65.1043,0.0,top
C5,148.4453,-73.9243,180.0,top
C6,152.4753,-65.0543,0.0,top
C7,155.5453,-70.0143,90.0,top
C8,180.8903,-62.8043,270.0,top
C9,124.5803,-98.4443,90.0,top
D1,175.3003,-69.5943,270.0,top
D2,116.62035,-101.51425,0.0,bottom
IC1,116.6203,-101.5143,90.0,top
IC2,182.8183,-67.7693,180.0,top
J1,182.6603,-79.5343,0.0,top
J2,184.6403,-61.6843,90.0,top
LED10,190.1203,-76.0143,45.0,bottom
LED11,142.1203,-94.0143,225.0,bottom
LED12,157.1203,-94.0143,315.0,bottom
LED13,157.1203,-109.0143,45.0,bottom
LED14,142.1203,-109.0143,135.0,bottom
LED15,149.6203,-101.5143,0.0,bottom
LED16,109.1203,-61.0143,225.0,bottom
LED17,124.1203,-61.0143,315.0,bottom
LED18,109.1203,-68.5143,180.0,bottom
LED19,124.1203,-68.5143,0.0,bottom
LED2,142.1203,-61.0143,225.0,bottom
LED20,109.1203,-76.0143,135.0,bottom
LED21,124.1203,-76.0143,45.0,bottom
LED22,176.2203,-76.5643,90.0,top
LED23,171.3503,-75.9843,90.0,top
LED3,157.1203,-76.0143,45.0,bottom
LED4,175.1203,-94.0143,225.0,bottom
LED5,182.6203,-101.5143,45.0,bottom
LED6,190.1203,-109.0143,45.0,bottom
LED7,175.1203,-61.0143,225.0,bottom
LED8,190.1203,-61.0143,315.0,bottom
LED9,175.1203,-76.0143,135.0,bottom
R1,124.5903,-101.6443,90.0,top
R10,193.7803,-75.0043,90.0,top
R11,142.1203,-94.0143,135.0,top
R12,157.1203,-94.0143,45.0,top
R13,157.1203,-109.0143,315.0,top
R14,142.1203,-109.0143,225.0,top
R15,149.6403,-101.5143,0.0,top
R16,109.097497,-60.991497,135.0,top
R17,124.1203,-61.0143,45.0,top
R18,109.1003,-68.5143,180.0,top
R19,124.1203,-68.5143,0.0,top
R2,142.097497,-60.991497,135.0,top
R20,109.1203,-76.0143,225.0,top
R21,124.1203,-76.0143,315.0,top
R22,145.8753,-67.4643,180.0,top
R23,151.5553,-73.9243,180.0,top
R24,145.8653,-65.4943,180.0,top
R25,174.6003,-76.5643,90.0,top
R26,172.9403,-75.9793,90.0,top
R27,108.4903,-100.3943,90.0,top
R3,157.1203,-76.0143,315.0,top
R31,171.9533,-61.4343,270.0,top
R32,175.8193,-59.7943,0.0,top
R33,171.9603,-64.4973,270.0,top
R34,178.8723,-59.7973,0.0,top
R4,175.1203,-94.0143,135.0,top
R5,182.6203,-101.5143,315.0,top
R6,190.143103,-109.037103,315.0,top
R7,178.4453,-58.0743,0.0,top
R8,191.5203,-62.2943,45.0,top
R9,171.9203,-72.1143,90.0,top
Rprog1,187.3903,-68.9743,270.0,top
SW1,108.5503,-95.2443,270.0,top
U1,191.1703,-71.5843,180.0,top
U2,175.3003,-74.0543,0.0,top
U3,176.0728,-63.0443,180.0,top
U4,150.9253,-69.4893,0.0,top
U5,101.7003,-53.5143,0.0,top
